0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/ce/component?component=graphe HTTP/1.1" 200 459 "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQf"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/ce/analysis_status?component=graphe HTTP/1.1" 200 537 "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQg"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:10 +0200] "GET /api/measures/component?additionalFields=period%2Cmetrics&component=graphe&metricKeys=alert_status%2Cquality_gate_details%2Cbugs%2Cnew_bugs%2Creliability_rating%2Cnew_reliability_rating%2Cvulnerabilities%2Cnew_vulnerabilities%2Csecurity_rating%2Cnew_security_rating%2Csecurity_hotspots%2Cnew_security_hotspots%2Csecurity_hotspots_reviewed%2Cnew_security_hotspots_reviewed%2Csecurity_review_rating%2Cnew_security_review_rating%2Ccode_smells%2Cnew_code_smells%2Csqale_rating%2Cnew_maintainability_rating%2Csqale_index%2Cnew_technical_debt%2Ccoverage%2Cnew_coverage%2Clines_to_cover%2Cnew_lines_to_cover%2Ctests%2Cduplicated_lines_density%2Cnew_duplicated_lines_density%2Cduplicated_blocks%2Cncloc%2Cncloc_language_distribution%2Cprojects%2Clines%2Cnew_lines HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQj"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:22 +0200] "GET /api/issues/search?componentKeys=graphe&s=FILE_LINE&&resolved=false&sinceLeakPeriod=true&types=CODE_SMELL&ps=100&facets=owaspTop10%2CsansTop25%2Cseverities%2CsonarsourceSecurity%2Ctypes&additionalFields=_all&timeZone=Europe%2FParis HTTP/1.1" 200 - "http://localhost:9000/project/issues?id=graphe&resolved=false&sinceLeakPeriod=true&types=CODE_SMELL" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQk"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:26 +0200] "GET /js/300.m.6b577c27.chunk.js HTTP/1.1" 200 - "http://localhost:9000/code?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQl"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:26 +0200] "GET /api/metrics/search?ps=500 HTTP/1.1" 200 - "http://localhost:9000/code?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQm"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:26 +0200] "GET /api/measures/component_tree?ps=100&s=qualifier%2Cname&component=graphe&metricKeys=ncloc%2Cbugs%2Cvulnerabilities%2Ccode_smells%2Csecurity_hotspots%2Ccoverage%2Cduplicated_lines_density&strategy=children HTTP/1.1" 200 997 "http://localhost:9000/code?id=graphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQn"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:28 +0200] "GET /api/measures/component_tree?ps=100&s=qualifier%2Cname&component=graphe%3Asrc%2Fgraphe&metricKeys=ncloc%2Cbugs%2Cvulnerabilities%2Ccode_smells%2Csecurity_hotspots%2Ccoverage%2Cduplicated_lines_density&strategy=children HTTP/1.1" 200 - "http://localhost:9000/code?id=graphe&selected=graphe%3Asrc%2Fgraphe" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQo"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:32 +0200] "GET /api/measures/component_tree?ps=100&s=qualifier%2Cname&component=graphe%3Asrc%2Fgraphe%2FGraphe.java&metricKeys=ncloc%2Cbugs%2Cvulnerabilities%2Ccode_smells%2Csecurity_hotspots%2Ccoverage%2Cduplicated_lines_density&strategy=children HTTP/1.1" 200 367 "http://localhost:9000/code?id=graphe&selected=graphe%3Asrc%2Fgraphe%2FGraphe.java" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQp"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:32 +0200] "GET /api/components/app?component=graphe%3Asrc%2Fgraphe%2FGraphe.java HTTP/1.1" 200 308 "http://localhost:9000/code?id=graphe&selected=graphe%3Asrc%2Fgraphe%2FGraphe.java" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQq"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:32 +0200] "GET /api/components/show?component=graphe%3Asrc%2Fgraphe%2FGraphe.java HTTP/1.1" 200 697 "http://localhost:9000/code?id=graphe&selected=graphe%3Asrc%2Fgraphe%2FGraphe.java" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQr"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:32 +0200] "GET /api/sources/lines?key=graphe%3Asrc%2Fgraphe%2FGraphe.java&from=1&to=502 HTTP/1.1" 200 - "http://localhost:9000/code?id=graphe&selected=graphe%3Asrc%2Fgraphe%2FGraphe.java" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQs"
0:0:0:0:0:0:0:1 - - [06/oct./2021:10:21:32 +0200] "GET /api/issues/search?additionalFields=_all&resolved=false&componentKeys=graphe%3Asrc%2Fgraphe%2FGraphe.java&s=FILE_LINE&p=1&ps=500 HTTP/1.1" 200 - "http://localhost:9000/code?id=graphe&selected=graphe%3Asrc%2Fgraphe%2FGraphe.java" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAQt"
